Location,Coordinates
"Bourne, Texas","(32.6944042, -97.1823789)"
"Eugene, Oregon","(44.0505054, -123.0950506)"
"Near Mendoza, Argentina","(-32.8874778, -68.8359157)"
"Hayward, California","(37.6688205, -122.080796)"
"Near Dixmude, Belgium","(51.0333408, 2.8647185)"
"Hemkenrode, Germany","(52.2276543, 10.7060559)"
"Off Barnegat, New Jersey","(39.7492503, -74.1141426)"
"Near Castrovillari, Calabria, Italy","(39.8119315, 16.2026124)"
"Traunstein, Germany","(47.8695272, 12.6484621)"
"Near Viladrau, Spain","(41.8478521, 2.3920004)"
"Bowling Green, Virginia","(38.0498524, -77.3469994)"
"Glenview, Illinois","(42.0700662, -87.8114044)"
Aegean Sea,"(38.0622276, 25.7205887)"
"Quay, New Mexico","(35.1439219, -103.4183431)"
"Near Ljubljana, Yugoslavia","(46.0500268, 14.5069289)"
"Chesterton, Indiana","(41.6107243, -87.0522661)"
"Etobon, France","(47.6441521, 6.6750345)"
"Moriarty, New Mexico","(34.9972037, -106.0494876)"
"Near Kharkov, Ukraine, USSR","(44.5991576, 33.4898472)"
"Wedron, Illinois","(41.4361933, -88.7735303)"
"Hamburg, Germany","(53.550341, 10.000654)"
"Eshowe, South Africa","(-28.889191, 31.4704425)"
"Near Ruysselede, Belgium",
"Corbigny, France","(47.2574315, 3.6843003)"
"Carombe, France",
"Near Salt Lake City, Utah","(40.7596198, -111.886797)"
"Rio de Oro, Morocco","(22.0724145, -14.4452432)"
"Petersburg, Illinois","(40.0117151, -89.8481652)"
"Pereira, Colombia","(4.7854606, -75.788322)"
"Near Lima, Peru","(-11.967575, -77.0113689)"
"Ningpo Bay, China","(41.7939895, 81.848927)"
"Mongaup Mountain, New York","(41.9909235, -74.6840456)"
"Junin, Argentina","(-34.5934412, -60.9461678)"
"Chausseehausen, Germany",
"San Bernardino, California","(34.8253019, -116.0833144)"
"Near Tuttlingen, Germany","(47.9844315, 8.8186606)"
"Bahia, Brazil","(-12.285251, -41.9294776)"
"Ningbo, China","(29.8622194, 121.6203873)"
"Amazonia, Missouri","(39.8870003, -94.892021)"
"Near Winton, Australia","(-22.3845163, 143.0364812)"
"Bass Strait, Australia","(-34.6787062, 150.8539546)"
"Kiapit, Australia",
"Amazonia, Montana","(6.2135235, -75.5711578)"
"Near Longreach, Australia","(-23.4378387, 144.2586898)"
"Salchau, Germany","(52.4440003, 11.5757013)"
"Columbia, Missouri","(38.951883, -92.3337366)"
"Palma Soriano, Cuba","(20.2126686, -75.9973941)"
"Rutbah Wells, Syria","(40.7013353, -85.2116102)"
"Sunbright, Tennessee","(36.2434093, -84.6699442)"
"Near Karachi, Pakistan","(24.8857788, 67.0344599)"
"Pittsburgh, Pennsylvania","(40.4416941, -79.9900861)"
"Stettin, Germany","(51.7237371, 7.9810957)"
"Off Point Sur, Californiia","(36.3053035, -121.8992477)"
"Schievelbein, Germany","(50.9477644, 12.763015)"
"El Arish, Egypt","(31.123641, 33.7983521)"
"Off Samland, Germany","(48.1178858, 11.6625554)"
"Beauvais, France","(49.4300997, 2.0823355)"
"Brilon, Germany","(51.3955721, 8.5677743)"
"Near Walsenberg, Colorado","(44.0197395, -121.3377374)"
"Atlanta, Missouri","(39.899036, -92.4792519)"
"Near Moscow, Russia","(55.625578, 37.6063916)"
"Flint, Michigan","(43.0161693, -83.6900211)"
"Glendo, Wyoming","(42.502747, -105.026083)"
"Maywood, Illinois","(41.8789942, -87.8436412)"
"San Barbra, Honduras","(34.4221319, -119.702667)"
"Medellin, Colombia","(6.2697324, -75.6025597)"
"Amsterdam, Netherlands","(52.3730796, 4.8924534)"
"Off Chandeleur Island, Mississippi","(41.5235527, -90.5279425)"
"Pian Giacomo, Switzerland","(46.4203657, 9.2269445)"
"Cardiff, United Kingdom","(51.4816546, -3.1791934)"
"El Retiro, Colombia","(6.0572745, -75.502611)"
"Cairo, Egypt","(30.0443879, 31.2357257)"
"Hangow, China",
"Near Gilmer, Texas","(32.728803, -94.9445572)"
"Walakpa, near Point Barrow, Alaska","(71.3865172, -156.4741383)"
"Near Glendo, Wyoming","(42.502747, -105.026083)"
"Near Tambo, Panama","(8.6655425, -80.2959827)"
"Off Finders Island, Victoria, Australia","(-37.7102009, 145.2834662)"
"Near Cheyenne, Wyoming","(41.139981, -104.820246)"
Gulf of Finland,"(59.8737114, 26.3230491)"
"Troy, New York","(42.7284117, -73.6917878)"
"Off Nhambupe, Brazil",
"Near Fort Worth, Texas","(32.7356564, -97.4300751)"
"Brindisi, Italy","(40.6358599, 17.6884975)"
"Istres, France","(43.5139051, 4.9884323)"
"Tours, France","(47.3900474, 0.6889268)"
"Wroctaw, Poland",
"Off Alexandria, Egypt","(31.1991806, 29.8951716)"
"Tres Esquinas, Colombia","(4.7150773, -75.7508642)"
"Goodwin, Arkansas","(34.9381496, -91.0209529)"
"Near Cordillera, Boliva","(17.3597101, 121.0716923)"
"Off Ajaccio, Corsica, France","(41.9263991, 8.7376029)"
"Denton, Texas","(33.1838787, -97.1413417)"
South Atlantic Ocean,"(-45.0, -15.0)"
"Near Tengya, China","(35.800826, 139.2999313)"
"Ovalle, Chile","(-30.6030819, -71.2029894)"
"Amemeca, Mexico",
"Pavillon, New York","(40.8168229, -73.9460805)"
"Uniontown, Pennsylvania","(39.900937, -79.725931)"
"Port of Spain, Trinidad","(10.6506035, -61.5165737)"
"Near Turin, Italy","(45.0249632, 7.6718367)"
"Orvin, Switzerland","(47.1606885, 7.212695)"
"Senlis, France","(50.5331612, 2.1523287)"
"Basel, Switzerland","(47.5581077, 7.5878261)"
"Mount Waverley, Australia","(-37.8752637, 145.1281258)"
"Malmo, Sweden","(55.6052931, 13.0001566)"
"Hannover, Germany","(52.3744779, 9.7385532)"
"Mt. Lihesten, Norway","(61.1640879, 5.2222349)"
"Zagreb, Croatia","(45.8039504, 15.9527252)"
"Kulyab, Tajikistan",
"Off Channel Islands, Jersey","(49.2123066, -2.1256)"
"Mazamet, France","(43.4902317, 2.3764363)"
"Ciudad Serdan,Mexico","(18.9897368, -97.4484353)"
"St. Louis, Missouri","(38.6280278, -90.1910154)"
"Choco, Colombia","(6.0000085, -77.0000086)"
"Altenkirchen, Germany","(50.6880109, 7.6477412)"
"Mirabella, Greece","(35.214743, 25.7120633)"
"Near Pittsburgh, Pennsylvania","(40.4416941, -79.9900861)"
"Benghazi, Libya","(32.1200168, 20.0812174)"
"Walsenberg, Colorado",
"Napierville, Illinois",
"Francisco Rueda,  Tabasco, Mexico","(17.8346002, -93.9307689)"
"Selby, North Yorkshire, United Kingdom","(53.785097, -1.0990407)"
"Near Tabarz, Germany","(50.8760961, 10.5161643)"
"Nurnberg, Germany","(49.453872, 11.077298)"
"Near Grenoble, France","(45.1875602, 5.7357819)"
"Off Dakar, French West Africa","(47.3138746, 5.0488196)"
"Kellogg, Idaho","(47.5382349, -116.118887)"
"Near Milford, Pennsylvania","(41.322316, -74.8023882)"
